state,if_slave
Alabama,1
Alaska,0
Arizona,0
Arkansas,1
California,0
Colorado,0
Connecticut,0
Delaware,1
Florida,1
Georgia,1
Hawaii,0
Idaho,0
Illinois,0
Indiana,0
Iowa,0
Kansas,0
Kentucky,1
Louisiana,1
Maine,0
Maryland,1
Massachusetts,0
Michigan,0
Minnesota,0
Mississippi,1
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,0
New Mexico,0
New York,0
North Carolina,1
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,1
South Dakota,0
Tennessee,1
Texas,1
Utah,0
Vermont,0
Virginia,1
Washington,0
West Virginia,0
Wisconsin,0
Wyoming,0
District of Columbia,0
